,Dni,Nom,Curso
1266,F8100344D,Abril Macías Guardiola,D
1267,Q7832857B,Valèria Sánchez,E
1268,A84080670,Joan de Olmedo,C
1269,N9465554E,Chlóe Cerezo-Arenas,B
1270,S5147401C,María Del Carmen Blazquez,B
1271,B37939139,Josep Casanovas Vázquez,F
1272,B11913498,Pedro Ricart Cantón,B
1273,B29905627,Pol Gómez Isern,A
1274,S6417982C,Arnau Gonzalo-Barrios,A
1275,J2387634E,Martí Antonio Nicolás Giner,C
1276,D78897097,Núria Verdejo Arteaga,A
1277,A94992674,Nil del Roselló,B
1278,U4804259B,Max Goñi Dávila,D
1279,B90285073,Lucia de Ballester,B
1280,Q4287906D,José Pou Cobo,C
1281,R5715872G,Emma de Almagro,D
1282,F2210369A,Pol Robles-Aguilar,B
1283,N5426927I,Aleix Cervera Alfaro,E
1284,E65877607,Antonia Carlos Valderrama,A
1285,B80106230,Martina Barberá Cabrero,A
1286,H45996352,Antonia Canals Coloma,F
1287,C99290520,Antònia Baró-Elías,B
1288,F2431907A,Sílvia Pino Torrent,A
1289,G54830989,Sofía Mateo Alemany,B
1290,U7038519J,Ana Cortina Rubio,A
1291,H45996352,Antonia Canals Coloma,B
1292,D05154323,Paula Tomás Bello,E
1293,S3409072J,Adam del Lara,D
1294,B19312776,Aleix Doménech Pombo,C
1295,F8243580A,Montserrat Saez Sabater,F
1296,P7187021F,Antònia Paula Juliá Jaén,A
1297,F2210369A,Pol Robles-Aguilar,F
1298,Q9514578E,Anna Benítez Rovira,C
1299,S0085490A,Ona Salvà Pizarro,F
1300,H64502842,Pau Valencia Martinez,A
1301,H36110567,Laia Castell Llobet,F
1302,B48122808,Sara Jaume Lobo,F
1303,V5995012A,Laura Roma Boix,D
1304,Q4579611G,Leo Verdú Sastre,F
1305,G92617570,Carmen del Martín,A
1306,R8192469H,Enzo Escalona Morales,C
1307,Q2116390B,Francisca Marta Arias Ferrero,E
1308,P6887458E,Nil del Morillo,F
1309,C94387792,Paula Rosa Perea,C
1310,D65605370,Martina Velasco Soriano,E
1311,Q0041000A,David Chaves Cantero,B
1312,P4346331D,Bruno Joan Fernandez Rozas,E
1313,C04838918,Valèria Urrutia Cal,E
1314,U7141532G,Pau Talavera Moliner,B
1315,W9742873D,Cristina Mia Falcón Ros,D
1316,Q7211251I,Marc Reina Arrieta,F
1317,J5466519E,Arnau Lerma Catalá,C
1318,R7687550I,Juan Pozuelo Vila,B
1319,N7185603C,Arlet Chaves Roldan,D
1320,H44219327,David de Carretero,B
1321,A33932468,Rosa Valèria Santos Barberá,F
1322,W9218380E,Pol del Sanjuan,B
1323,H23073786,Anna Armas Moles,A
1324,Q2116390B,Francisca Marta Arias Ferrero,D
1325,F0005249H,Arnau Huguet Chaparro,E
1326,S8162432B,Jan Albert Marqués Rodrigo,F
1327,C26701623,Arnau Bertrán Aragón,D
1328,D81900805,Rosa Carrión Bauzà,B
1329,B80106230,Martina Barberá Cabrero,A
1330,N9318716I,Pedro Valderrama Marí,E
1331,R4624337D,Anna del Otero,B
1332,C48788897,Clàudia Manzanares Angulo,D
1333,J2907838C,Carmen Marta Cruz Carpio,F
1334,Q2116390B,Francisca Marta Arias Ferrero,C
1335,J2410709F,Júlia Montenegro Muro,B
1336,H92027010,Ana Tello Alemán,A
1337,S8355279D,Antonia Bermejo Bayo,B
1338,E65793119,Enzo Leiva-Sainz,D
1339,B90285073,Lucia de Ballester,F
1340,N7359672H,Daniel Bartolomé Vilar,F
1341,V3042112G,Bruno Martorell,C
1342,Q9771076H,Valèria Tomas Ramírez,A
1343,V3380673H,Enzo Alberdi Sainz,E
1344,W9073176A,Èric Cortina Vazquez,C
1345,V4258212B,Marc Dominguez Barberá,A
1346,W0083928B,Sara Gil Jordán,B
1347,H48271738,Laia Oliveras Puente,A
1348,D18702910,Marc Villar Nicolás,C
1349,V2015246H,Martí Agullo-Campos,A
1350,C21370879,Pol Puente Lucena,B
1351,N6419040H,Marc Ramos Leon,C
1352,A57076200,Sara Ávila Collado,E
1353,N5447529H,Daniel Giménez Córdoba,E
1354,Q5177739I,Josefa de Muro,D
1355,N8631109I,Francisca Martina Rodríguez Hoyos,F
1356,C75059956,Jorge Baena,C
1357,W9218380E,Pol del Sanjuan,E
1358,V4258212B,Marc Dominguez Barberá,F
1359,B88818059,Martina María Carreño Villaverde,D
1360,J2259741C,María Bayo Cózar,B
1361,Q2116390B,Francisca Marta Arias Ferrero,F
1362,G26285767,Hugo del Núñez,E
1363,W9742873D,Cristina Mia Falcón Ros,B
1364,Q7010862F,Miguel Torrens Fernandez,F
1365,F0005249H,Arnau Huguet Chaparro,D
1366,C21370879,Pol Puente Lucena,C
1367,P6887458E,Nil del Morillo,C
1368,V2665575C,Xavier Collado Domínguez,B
1369,U3750527H,Biel Rojas Arias,C
1370,F9340007E,Chlóe Moliner,F
1371,S6417982C,Arnau Gonzalo-Barrios,E
1372,Q7186100I,Èric Cifuentes,E
1373,J2387634E,Martí Antonio Nicolás Giner,E
1374,H23073786,Anna Armas Moles,B
1375,C90629742,María Del Carmen Herranz-Milla,B
1376,J3353939F,Isabel Varela,D
1377,F8299437G,Lucas Marc Robledo Hernandez,A
1378,Q7211251I,Marc Reina Arrieta,B
1379,G90306762,Èric Blázquez Gil,A
1380,P3351363A,María Dolores Montesinos Marin,E
1381,B48122808,Sara Jaume Lobo,F
1382,W9833166C,Leo Èric Ibarra Castellanos,C
1383,J2410709F,Júlia Montenegro Muro,E
1384,U9908499H,Laura de Villegas,E
1385,A94992674,Nil del Roselló,B
1386,G50849165,Jana del Llopis,E
1387,J8918438F,Francisco Roldan,D
1388,G24609380,Júlia Miralles-Boada,E
1389,G08270886,José María de Galvez,B
1390,H23073786,Anna Armas Moles,F
1391,N1790348E,Arlet Huguet Coloma,D
1392,R8192469H,Enzo Escalona Morales,A
1393,E85913895,Álex Juliá Cantón,F
1394,N9624314B,Júlia Vera-Bueno,F
1395,F1405226J,Adam Abella Valle,F
1396,P2473520A,Sílvia Carnero Bas,C
1397,J8835130I,Carmen Salas Verdejo,C
1398,A90436353,Júlia Saura-Colomer,C
1399,H44219327,David de Carretero,C
1400,H47198551,Marta Goicoechea Mercader,A
1401,G83025460,Noa Cueto Ribas,D
1402,B13701750,Ramón Bastida Valentín,E
1403,G07621824,Sara Ángel Nieto,E
1404,J0110698H,Antonio Rocamora Aragón,E
1405,S6417982C,Arnau Gonzalo-Barrios,D
1406,N3380714J,Clàudia Espejo Benitez,F
1407,W4284402G,Mia Ona Tirado Herranz,D
1408,S1410175B,Lucas Frutos Andrés,B
1409,E23616857,Marc Luz Casas,D
1410,F8773593B,David Sainz-Royo,B
1411,Q0552283D,Clàudia Verdú-Montalbán,C
1412,P2473520A,Sílvia Carnero Bas,B
1413,G45806411,Hugo Torres Iborra,F
1414,D57989162,Noa Carnero Cortés,B
1415,P9348817I,Antonio Amo Castañeda,D
1416,C29574233,Sílvia Ana Mármol Vázquez,C
1417,F5675046F,José Carballo Gutierrez,C
1418,H70835210,Joan de Cañas,F
1419,U9961248C,Pau Priego Paniagua,A
1420,S2330516B,Arnau David Armas Carreño,E
1421,Q9771076H,Valèria Tomas Ramírez,E
1422,G96947643,María Del Carmen Esparza Godoy,B
1423,G90306762,Èric Blázquez Gil,E
1424,Q0552283D,Clàudia Verdú-Montalbán,E
1425,G73658932,Laura Bilbao Sala,A
1426,D83545129,Francisca Font Navarro,A
1427,H23653579,Manuel David Rosado Acero,F
1428,N4056672A,Carmen Emma Iñiguez Azcona,A
1429,U9961248C,Pau Priego Paniagua,E
1430,F8773593B,David Sainz-Royo,E
1431,G54830989,Sofía Mateo Alemany,A
1432,H37157526,Arlet Sala Narváez,C
1433,S3651419H,Enzo Carnero-Aliaga,A
1434,D03554946,Joan Azcona,D
1435,D62147475,Josep Blázquez,F
1436,J2259741C,María Bayo Cózar,E
1437,A94611183,Antònia Frías Macías,D
1438,J6747593I,Arlet Barón-Barco,C
1439,N0515267C,Noa Ochoa Bartolomé,E
1440,B41571647,Mia Escudero Galan,A
1441,B37939139,Josep Casanovas Vázquez,F
1442,H00974097,Daniel Cornejo Mateos,F
1443,E47464060,Francisco Palomares Ocaña,C
1444,B82071457,Noa Coello Mendoza,E
1445,U4290146B,Aleix de Ávila,C
1446,H03012952,Mia Méndez Ribes,B
1447,H15620032,Noa Gárate,F
1448,F8025276J,Carla Ribas Ariño,A
1449,B60410958,Pol Cáceres,F
1450,C52853389,Carla Leiva Pacheco,F
1451,E99188005,Biel Alcalde Samper,B
1452,N5762693I,Josep Ramírez,D
1453,U1774374A,Martina Solano Roma,D
1454,H44219327,David de Carretero,C
1455,V3380673H,Enzo Alberdi Sainz,E
1456,F9340007E,Chlóe Moliner,D
1457,V8982148B,Carlos Carlos Espejo,B
1458,H03012952,Mia Méndez Ribes,F
1459,S3651419H,Enzo Carnero-Aliaga,D
1460,P7917625A,Joan Ferrera Canals,A
1461,P2473520A,Sílvia Carnero Bas,C
1462,G52644184,Martí Enzo Pujadas Pedrero,C
1463,Q0041000A,David Chaves Cantero,E
1464,E73982548,Júlia Palomino Company,B
1465,D33698531,Aina Ferrán-Dávila,E
1466,F8713241A,Antonio Catalá,B
1467,E65793119,Enzo Leiva-Sainz,C
1468,D44217990,Nil Bilbao Sastre,D
1469,P7917625A,Joan Ferrera Canals,A
1470,B11913498,Pedro Ricart Cantón,A
1471,P3531278D,Èric de Agustí,F
1472,B29905627,Pol Gómez Isern,B
1473,H21342050,David Arellano Sebastián,C
1474,V7999367A,Lucia Abascal Tejera,D
1475,A53234324,Marc Navas Bermúdez,D
1476,D33698531,Aina Ferrán-Dávila,F
1477,S9346078J,Francisco Pareja Peinado,A
1478,J5155116F,Júlia Abellán-Pou,A
1479,G79531372,Laia Seguí,C
1480,G68200534,Martina Cano Pineda,B
1481,D96545363,Jorge Adam Conesa Nevado,F
1482,R3314974A,María Teresa Ona Ferrándiz Donoso,E
1483,J2259741C,María Bayo Cózar,C
1484,R1153706E,Carlos Capdevila,C
1485,Q7832857B,Valèria Sánchez,E
1486,D78897097,Núria Verdejo Arteaga,B
1487,A90436353,Júlia Saura-Colomer,C
1488,F7517085B,Carlos Rosado Aguiló,E
1489,G76937929,María Dolores Sofía Salvador Teruel,B
1490,U0476516J,Isabel Miró Arana,A
1491,P6353735A,Rosa del Neira,B
1492,F2776503A,Francisca Ureña,D
1493,A71678262,Francisco Sanmartín,C
1494,Q9514578E,Anna Benítez Rovira,E
1495,B43465343,Hugo Alberto Girón,D
1496,B19312776,Aleix Doménech Pombo,D
1497,R5715872G,Emma de Almagro,D
1498,B88818059,Martina María Carreño Villaverde,B
1499,Q5285042G,Manuel Galiano Teruel,C
1500,P2473520A,Sílvia Carnero Bas,E
1501,C29574233,Sílvia Ana Mármol Vázquez,D
1502,E73982548,Júlia Palomino Company,F
1503,H36269512,Antonia Cuevas,D
1504,A02143311,Francisco Aranda Peinado,D
1505,S3651419H,Enzo Carnero-Aliaga,F
1506,H23653579,Manuel David Rosado Acero,D
1507,D32512451,Albert Viña Gallardo,E
1508,J8863857B,Rosa Alberola Coll,A
1509,N2244432G,Laia Solsona Goicoechea,F
1510,W9727961F,Albert Cerdán Chamorro,F
1511,C06753156,Lucas Paniagua Llano,C
1512,V8231148A,Ona de Arjona,E
1513,C33342999,Anna Avilés-Palomar,F
1514,J8863857B,Rosa Alberola Coll,E
1515,B31484074,Jordi Cuenca Blanes,A
1516,H37157526,Arlet Sala Narváez,C
1517,H47198551,Marta Goicoechea Mercader,A
1518,U7141532G,Pau Talavera Moliner,E
1519,F8100344D,Abril Macías Guardiola,B
1520,W8545144A,Albert Solís-Acedo,E
1521,D94996444,Núria Miguel Huertas,B
1522,V7809521C,Antònia Anna Saez Belda,E
1523,B29905627,Pol Gómez Isern,C
1524,J6747593I,Arlet Barón-Barco,F
1525,S3651419H,Enzo Carnero-Aliaga,A
1526,C99290520,Antònia Baró-Elías,D
1527,E88184023,Bruno Recio Cid,B
1528,C78976982,Pau del Avilés,B
1529,V5995012A,Laura Roma Boix,F
1530,A84080670,Joan de Olmedo,F
1531,H23073786,Anna Armas Moles,D
1532,S6417982C,Arnau Gonzalo-Barrios,B
1533,B57625451,Antonia Campoy Alcalde,E
1534,D34934612,Laura Plaza Guardiola,B
1535,R1153706E,Carlos Capdevila,E
1536,C28142149,Aleix Moya Collado,C
1537,A94992674,Nil del Roselló,D
1538,N9465554E,Chlóe Cerezo-Arenas,C
1539,V8982148B,Carlos Carlos Espejo,E
1540,V4665297J,Juan Cruz Pallarès,F
1541,E09453762,Ona Talavera Abascal,C
1542,H23653579,Manuel David Rosado Acero,B
1543,A94611183,Antònia Frías Macías,B
1544,W7861640F,Aleix de Fiol,E
1545,P1659317J,Hugo Castrillo Otero,B
1546,D10065217,Xavier Bárcena Castillo,D
1547,Q4232915A,Antònia Colomer Blanca,C
1548,H36110567,Laia Castell Llobet,C
1549,F9551675C,Ana Morante-Vazquez,B
1550,F6683839B,Montserrat Múgica Manrique,B
1551,P4297671B,David Daniel Prada Arnau,D
1552,F8100344D,Abril Macías Guardiola,C
1553,J2410709F,Júlia Montenegro Muro,B
1554,H15620032,Noa Gárate,F
1555,P7855416I,Leo Bustamante Zapata,A
1556,A51927812,Lucas Jordi Rodriguez Lobo,B
1557,N6720616I,Cristina Coll Marín,D
1558,Q9514578E,Anna Benítez Rovira,E
1559,J0324897H,Laia Marcos Gomez,C
1560,D07727019,Álex Hervia Vazquez,A
1561,D52947983,Manuel Abad Soler,F
1562,U1774374A,Martina Solano Roma,F
1563,S8641797I,Aina Pi Trujillo,F
1564,W9218380E,Pol del Sanjuan,B
1565,J5466519E,Arnau Lerma Catalá,F
1566,G90306762,Èric Blázquez Gil,C
1567,J6747593I,Arlet Barón-Barco,F
1568,F6683839B,Montserrat Múgica Manrique,C
1569,Q4579611G,Leo Verdú Sastre,D
1570,E50342690,Ana Anna Perea Bermúdez,E
1571,B13701750,Ramón Bastida Valentín,B
1572,B48122808,Sara Jaume Lobo,A
1573,R5715872G,Emma de Almagro,F
1574,C48788897,Clàudia Manzanares Angulo,C
1575,F2776503A,Francisca Ureña,B
1576,R8192469H,Enzo Escalona Morales,E
1577,P6887458E,Nil del Morillo,E
1578,F9340007E,Chlóe Moliner,D
1579,G26937243,Josefa Moll Piñeiro,A
1580,U4804259B,Max Goñi Dávila,C
1581,S5147401C,María Del Carmen Blazquez,B
1582,F1014977A,Pedro Murcia-Valbuena,C
1583,R8192469H,Enzo Escalona Morales,B
1584,F6017604G,Biel Sedano Oliveras,E
1585,G36745990,Marc Blanco Valderrama,A
1586,F9551675C,Ana Morante-Vazquez,D
1587,J0324897H,Laia Marcos Gomez,E
1588,Q2116390B,Francisca Marta Arias Ferrero,F
1589,G15254279,Josep Pera,B
1590,R6463216I,Ona Ona Roma Prieto,D
1591,B55324438,Antònia Elorza Requena,D
1592,B43837079,Laura Marquez Izquierdo,F
1593,Q7186100I,Èric Cifuentes,D
1594,C40980427,Nil Adam Leon Jaén,C
1595,H00974097,Daniel Cornejo Mateos,E
1596,S0662896J,Álex Julián Cervantes,A
1597,H23073786,Anna Armas Moles,E
1598,G76937929,María Dolores Sofía Salvador Teruel,C
1599,E25450909,Martina Paredes-Falcó,C
1600,N0515267C,Noa Ochoa Bartolomé,C
1601,C94387792,Paula Rosa Perea,F
1602,V8533935F,María Teresa de Dalmau,C
1603,H70835210,Joan de Cañas,F
1604,D81900805,Rosa Carrión Bauzà,F
1605,J4856729A,Pedro Cabrero Agullo,A
1606,P6057674A,María Del Carmen Valèria Raya Mena,E
1607,N2845937H,Montserrat Manzanares-Herrero,B
1608,J2410709F,Júlia Montenegro Muro,C
1609,P6353735A,Rosa del Neira,D
1610,C28142149,Aleix Moya Collado,D
1611,A95064218,Montserrat Martin Saez,A
1612,D81900805,Rosa Carrión Bauzà,D
1613,H70835210,Joan de Cañas,B
1614,A94992674,Nil del Roselló,A
1615,C81417628,Núria Martín,C
1616,E09453762,Ona Talavera Abascal,A
1617,D64321540,María Dolores del Boada,C
1618,N2759694I,María Dolores Júlia Montenegro Ramón,A
1619,D05154323,Paula Tomás Bello,D
1620,E63638506,Bruno Andreu-Andrade,A
1621,G54830989,Sofía Mateo Alemany,C
1622,P6887458E,Nil del Morillo,D
1623,P7187021F,Antònia Paula Juliá Jaén,A
1624,W5008386D,Laura Montes Céspedes,E
1625,Q0041000A,David Chaves Cantero,A
1626,H15620032,Noa Gárate,E
1627,C64875321,Pau del Bayón,D
1628,D05154323,Paula Tomás Bello,D
1629,G07621824,Sara Ángel Nieto,F
1630,B57625451,Antonia Campoy Alcalde,E
1631,Q3854328F,Lucia Sílvia Méndez Uría,C
1632,C91303552,Aina Dávila Bauzà,B
1633,A81512261,Sílvia Lobo Ramírez,E
1634,U7141532G,Pau Talavera Moliner,B
1635,H34827741,David Olivares-Julián,E
1636,S0662896J,Álex Julián Cervantes,C
1637,R5336309I,Rosa Torralba Rozas,F
1638,H92027010,Ana Tello Alemán,D
1639,D57672396,Chlóe Tomas Santamaria,B
1640,F4210663C,Dolores Trujillo Estévez,C
1641,C26701623,Arnau Bertrán Aragón,D
1642,A02143311,Francisco Aranda Peinado,F
1643,U8112016D,Joan Villalobos Carnero,A
1644,N5426927I,Aleix Cervera Alfaro,F
1645,J5155116F,Júlia Abellán-Pou,B
1646,P5728622A,Daniel Castillo Hurtado,C
1647,B11913498,Pedro Ricart Cantón,B
1648,A28346542,Martina Fuentes-Moll,E
1649,P2199273J,Enzo de Osorio,C
1650,H34827741,David Olivares-Julián,C
1651,S5147401C,María Del Carmen Blazquez,B
1652,S3989833C,Aleix Jove Cantero,E
1653,V8982148B,Carlos Carlos Espejo,B
1654,S1471928J,Carla Ferrán Tenorio,E
1655,P3798114I,Ana de Larrea,A
1656,C87660817,María Dolores Romeu-Bastida,A
1657,E47464060,Francisco Palomares Ocaña,B
1658,N2518597F,Noa de Grande,D
1659,F2776503A,Francisca Ureña,D
1660,P6887458E,Nil del Morillo,D
1661,C99290520,Antònia Baró-Elías,A
1662,B43837079,Laura Marquez Izquierdo,A
1663,D81900805,Rosa Carrión Bauzà,C
1664,S9346078J,Francisco Pareja Peinado,B
1665,W8922173C,Álex Amo Alcalá,D
1666,P6887458E,Nil del Morillo,A
1667,G89205264,Montserrat Carla Lobato Salamanca,C
1668,N4457128I,Francisco Meléndez Gargallo,C
1669,A78168275,Montserrat Arrieta Baquero,B
1670,V4258212B,Marc Dominguez Barberá,F
1671,W9727961F,Albert Cerdán Chamorro,A
1672,N2759694I,María Dolores Júlia Montenegro Ramón,B
1673,P6887458E,Nil del Morillo,A
1674,B90285073,Lucia de Ballester,F
1675,V4665297J,Juan Cruz Pallarès,C
1676,A51927812,Lucas Jordi Rodriguez Lobo,B
1677,W5008386D,Laura Montes Céspedes,E
1678,N5426927I,Aleix Cervera Alfaro,A
1679,P5810009J,Ramón Donoso Aguilar,F
1680,E52404001,Josefa Uriarte,E
1681,C06753156,Lucas Paniagua Llano,E
1682,Q2834551J,Noa Ordóñez,F
1683,U5176314B,Noa Camacho Boada,E
1684,G61008355,Arlet Lladó Diego,A
1685,G26285767,Hugo del Núñez,B
1686,A78168275,Montserrat Arrieta Baquero,A
1687,W7861640F,Aleix de Fiol,D
1688,Q2116390B,Francisca Marta Arias Ferrero,B
1689,V8231148A,Ona de Arjona,C
1690,A53234324,Marc Navas Bermúdez,E
1691,B90285073,Lucia de Ballester,F
1692,D64321540,María Dolores del Boada,A
1693,E55193205,Laia Boix Montenegro,A
1694,C06753156,Lucas Paniagua Llano,D
1695,H13226295,Pau Rosado Palomar,E
1696,J3512655F,Enzo Escolano Sanmiguel,F
1697,S1410175B,Lucas Frutos Andrés,A
1698,W9742873D,Cristina Mia Falcón Ros,B
1699,J6049614H,Júlia Sevillano Palomar,A
1700,N3620309I,Dolores Gelabert,C
1701,A42249482,Marta del Bernat,F
1702,P7855416I,Leo Bustamante Zapata,F
1703,N7090594H,Chlóe Plana Echevarría,E
1704,A28346542,Martina Fuentes-Moll,D
1705,J3659481J,Clàudia Sancho Aragón,E
1706,D57672396,Chlóe Tomas Santamaria,D
1707,U5176314B,Noa Camacho Boada,C
1708,V3555537D,Montserrat Bayo Garay,F
1709,P1659317J,Hugo Castrillo Otero,B
1710,U7558214H,Núria Alegre-Roma,F
1711,W4359932C,Dolores del Miguel,D
1712,U4683589H,Carla Corbacho-Escribano,E
1713,W9073176A,Èric Cortina Vazquez,A
1714,J3353939F,Isabel Varela,B
1715,F0005249H,Arnau Huguet Chaparro,E
1716,E23616857,Marc Luz Casas,E
1717,N8496367G,Ona de Torrens,E
1718,F6017604G,Biel Sedano Oliveras,B
1719,S1410175B,Lucas Frutos Andrés,F
1720,F1405226J,Adam Abella Valle,E
1721,P7917625A,Joan Ferrera Canals,E
1722,E25161068,Marta Oliver Alfaro,E
1723,B97041974,María Dolores Aramburu Galindo,C
1724,J6049614H,Júlia Sevillano Palomar,A
1725,A30004071,Pau Peláez Cano,D
1726,H64502842,Pau Valencia Martinez,B
1727,C99290520,Antònia Baró-Elías,E
1728,N2518597F,Noa de Grande,B
1729,N9318716I,Pedro Valderrama Marí,F
1730,A04422861,Francisca Rubio Paredes,B
1731,P2302883J,Èric Font Vargas,C
1732,B48122808,Sara Jaume Lobo,C
1733,D76934231,Álex Carballo Aranda,B
1734,B13701750,Ramón Bastida Valentín,A
1735,G44377703,Noa Mate Diego,D
1736,J3512655F,Enzo Escolano Sanmiguel,F
1737,R5336309I,Rosa Torralba Rozas,C
1738,B41571647,Mia Escudero Galan,C
1739,G13084090,Lucas Ocaña Huertas,B
1740,J8863857B,Rosa Alberola Coll,F
1741,J8918438F,Francisco Roldan,E
1742,F4119576I,Carlos Mayoral Cervantes,F
1743,F0005249H,Arnau Huguet Chaparro,F
1744,W9742873D,Cristina Mia Falcón Ros,F
1745,C91303552,Aina Dávila Bauzà,B
1746,G99523896,Pau Ros Pallarès,B
1747,S3409072J,Adam del Lara,B
1748,Q7186100I,Èric Cifuentes,E
1749,U0533919G,Carla Pi Falcó,C
1750,W1796907B,Mia Abellán Pulido,D
1751,F9340007E,Chlóe Moliner,F
1752,R7616148H,Carmen Jana Taboada Almansa,F
1753,F0005249H,Arnau Huguet Chaparro,D
1754,H64502842,Pau Valencia Martinez,E
1755,Q7554170F,José María Cuenca-Pera,E
1756,W0083928B,Sara Gil Jordán,D
1757,R1233513I,Cristina Fábregas Domingo,B
1758,G61008355,Arlet Lladó Diego,E
1759,N3184593F,Antonio Peralta Angulo,E
1760,E50342690,Ana Anna Perea Bermúdez,B
1761,W7861640F,Aleix de Fiol,F
1762,S0662896J,Álex Julián Cervantes,E
1763,S1898085D,Biel Vazquez Valverde,B
1764,F8773593B,David Sainz-Royo,B
1765,G29421625,Isabel Aramburu Baquero,C
1766,N4457128I,Francisco Meléndez Gargallo,F
1767,J3512655F,Enzo Escolano Sanmiguel,B
1768,Q2116390B,Francisca Marta Arias Ferrero,D
1769,J6747593I,Arlet Barón-Barco,D
1770,H37157526,Arlet Sala Narváez,D
1771,C99290520,Antònia Baró-Elías,F
1772,G79531372,Laia Seguí,C
1773,C87660817,María Dolores Romeu-Bastida,A
1774,J8835130I,Carmen Salas Verdejo,C
1775,P6887458E,Nil del Morillo,E
1776,B64747389,Èric Roman Mena,E
1777,E55193205,Laia Boix Montenegro,E
1778,E50536853,Max Aragonés Cabello,B
1779,P7256844G,Mia Giménez Carlos,D
1780,F9340007E,Chlóe Moliner,C
1781,U4212659I,Xavier Vicente Meléndez,E
1782,N5111030B,Carlos Ramírez Benavent,D
1783,V7809521C,Antònia Anna Saez Belda,E
1784,B90285073,Lucia de Ballester,C
1785,D62147475,Josep Blázquez,E
1786,V7809521C,Antònia Anna Saez Belda,D
1787,S7211209G,María Alemán Saura,E
1788,D03554946,Joan Azcona,E
1789,G24609380,Júlia Miralles-Boada,A
1790,H42115923,Clàudia Perea Bermudez,A
1791,D32512451,Albert Viña Gallardo,E
1792,H70835210,Joan de Cañas,B
1793,J8150128J,Cristina Reina Santana,C
1794,H64288004,Abril Samper Ibáñez,D
1795,E09453762,Ona Talavera Abascal,E
1796,N6419040H,Marc Ramos Leon,E
1797,F6804250F,María Dolores Ferrández Colom,A
1798,A51927812,Lucas Jordi Rodriguez Lobo,D
1799,N5762693I,Josep Ramírez,D
1800,H64502842,Pau Valencia Martinez,C
1801,S7995912H,Josefa Laura Llorens Villanueva,F
1802,G96947643,María Del Carmen Esparza Godoy,E
1803,F6804250F,María Dolores Ferrández Colom,E
1804,B41571647,Mia Escudero Galan,B
1805,S1017264A,Rosa Vigil,D
1806,W1495808F,Èric Arnaiz,B
1807,H64288004,Abril Samper Ibáñez,A
1808,Q2116390B,Francisca Marta Arias Ferrero,F
1809,H03012952,Mia Méndez Ribes,F
1810,H23653579,Manuel David Rosado Acero,C
1811,E85913895,Álex Juliá Cantón,A
1812,B39226162,Jana Villanueva Quirós,D
1813,P3531278D,Èric de Agustí,D
1814,C33342999,Anna Avilés-Palomar,F
1815,V5404049H,Biel Pau Tolosa Llorens,D
1816,A90436353,Júlia Saura-Colomer,E
1817,D83545129,Francisca Font Navarro,F
1818,E47909023,Sílvia Pinilla Hervás,F
1819,D57672396,Chlóe Tomas Santamaria,C
1820,D89560940,Xavier de Ribes,A
1821,C06753156,Lucas Paniagua Llano,D
1822,N5426927I,Aleix Cervera Alfaro,A
1823,J8863857B,Rosa Alberola Coll,F
1824,J2907838C,Carmen Marta Cruz Carpio,F
1825,E34862805,Rosa Porta,A
1826,J8150128J,Cristina Reina Santana,F
1827,B82071457,Noa Coello Mendoza,D
1828,J5068533H,Rosa Ramis,D
1829,D59333971,Anna Montaña-Uriarte,C
1830,J9643335D,Juan Maldonado Mayol,B
1831,G96947643,María Del Carmen Esparza Godoy,B
1832,S7366447F,Carlos Crespi Perales,D
1833,P9348817I,Antonio Amo Castañeda,D
1834,A28346542,Martina Fuentes-Moll,A
1835,J4450361C,Júlia Cano Amorós,D
1836,Q4579611G,Leo Verdú Sastre,A
1837,P2302883J,Èric Font Vargas,C
1838,D81900805,Rosa Carrión Bauzà,B
1839,C78976982,Pau del Avilés,E
1840,P8832380C,María Dolores Luz-Pera,C
1841,F7029229G,Daniel Prat Calvo,E
1842,B64747389,Èric Roman Mena,B
1843,W9218380E,Pol del Sanjuan,B
1844,P6887458E,Nil del Morillo,F
1845,E09453762,Ona Talavera Abascal,C
1846,G93234177,Rosa Laura Nogués Casares,C
1847,R5715872G,Emma de Almagro,E
1848,C81417628,Núria Martín,C
1849,W4359932C,Dolores del Miguel,E
1850,B80106230,Martina Barberá Cabrero,F
1851,S5329165D,Hugo Sanz Amat,A
1852,A42249482,Marta del Bernat,B
1853,D57672396,Chlóe Tomas Santamaria,B
1854,B37939139,Josep Casanovas Vázquez,F
1855,G44377703,Noa Mate Diego,D
1856,E56707995,Aina Otero-Gutiérrez,B
1857,H78024064,Max Quintana-Morales,E
1858,A10128536,Èric Roman Guijarro,B
1859,F8971698I,Ramón Rozas Baró,B
1860,Q0041000A,David Chaves Cantero,C
1861,A94611183,Antònia Frías Macías,F
1862,B48122808,Sara Jaume Lobo,B
1863,F4210663C,Dolores Trujillo Estévez,C
1864,D64321540,María Dolores del Boada,D
1865,A42249482,Marta del Bernat,A
1866,N3777084I,Pau Herranz Artigas,E
1867,N2845937H,Montserrat Manzanares-Herrero,E
1868,S0085490A,Ona Salvà Pizarro,D
1869,U3398151E,Lucia Rincón Rosales,A
1870,H42115923,Clàudia Perea Bermudez,E
1871,F3391179C,Abril Toledo,E
1872,U0476516J,Isabel Miró Arana,A
1873,R8469182C,Nil Marc Blanco Barroso,D
1874,R6463216I,Ona Ona Roma Prieto,A
